StudentID,ClassID,MathMarks,ScienceMarks,EnglishMarks,AttendancePercentage
84,8,51,81,78,99
85,5,79,86,44,57
86,9,45,43,97,92
87,11,57,67,81,56
88,6,72,94,72,90
89,8,36,55,87,89
90,10,71,92,78,52
91,8,83,44,88,66
92,13,86,40,54,51
93,3,67,47,65,64
94,7,56,99,41,95
95,14,39,54,92,78
96,7,52,91,44,99
97,14,72,80,44,97
98,10,71,42,73,71
99,12,98,44,62,53
100,6,44,45,64,55
101,12,76,46,71,87
102,7,82,44,77,75
103,14,78,59,86,60
104,2,50,83,90,75
105,9,88,83,43,66
106,10,69,45,57,73
107,10,62,96,97,77
108,1,36,70,95,84
109,1,47,73,74,80
110,3,75,87,78,62
111,14,93,90,58,84
112,3,87,35,85,65
113,1,79,90,92,64
114,12,54,38,67,92
115,7,58,64,50,67
116,4,95,46,56,96
117,10,92,69,91,86
118,13,61,86,96,97
119,2,60,65,64,97
120,10,41,86,57,98
121,5,76,41,66,90
122,6,81,56,91,76
123,9,87,90,43,84
124,4,93,92,65,94
125,2,72,98,43,84
126,5,87,46,47,77
127,3,49,41,92,88
128,2,60,89,37,87
129,12,82,96,69,58
130,1,53,89,55,61
131,10,43,70,98,64
132,2,98,58,86,70
133,6,88,78,68,84
134,8,85,51,69,91
135,13,73,36,49,82
136,3,38,47,40,68
137,11,37,65,66,72
138,9,98,62,86,62
139,12,63,94,62,93
140,9,45,61,98,50
141,2,92,49,53,78
142,8,61,67,49,73
143,10,55,54,40,65
144,11,73,76,72,74
145,12,80,46,60,72
146,5,70,57,85,77
147,4,99,48,87,96
148,10,97,59,90,65
149,5,69,65,93,92
150,4,65,88,92,87
151,8,62,39,47,60
152,4,35,47,77,52
153,13,59,62,85,64
154,10,77,77,53,50
155,12,97,81,55,56
156,13,85,72,58,50
157,14,36,96,60,98
158,6,98,73,79,81
159,2,43,71,62,58
160,5,36,42,63,78
161,6,68,86,51,75
162,5,94,67,78,72
163,12,95,76,95,94
164,2,65,61,59,92
165,14,44,42,36,78
166,7,70,57,83,87
167,4,83,98,60,82
168,8,83,54,61,56
169,7,37,50,52,61
170,7,39,51,88,80
171,9,95,53,35,81
172,1,60,42,95,69
173,10,39,72,37,66
174,6,49,72,75,85
175,6,50,87,71,52
176,6,35,65,85,50
177,13,50,78,49,99
178,12,71,94,42,76
179,6,37,51,72,96
180,12,86,73,90,89
181,10,81,76,81,82
182,7,47,82,44,69
183,14,89,46,83,63
184,10,55,52,75,85
185,6,88,40,64,54
186,1,61,77,39,72
187,3,72,69,65,94
188,2,92,88,86,64
189,6,96,96,57,55
190,8,80,50,82,82
191,3,45,42,74,68
192,10,42,65,40,62
193,8,98,44,72,78
194,8,55,90,75,55
195,5,97,54,61,64
196,8,98,39,91,65
197,6,54,57,51,73
198,5,42,43,81,72
199,9,92,92,47,97
200,14,80,93,45,59
201,7,65,88,58,90
202,8,43,80,38,90
203,1,49,56,80,98
204,11,60,98,52,66
205,2,44,42,77,98
206,8,63,54,67,93
207,12,70,85,44,94
208,9,71,73,93,79
209,4,57,71,65,93
210,12,75,84,62,95
211,10,62,68,94,59
212,11,82,67,37,68
213,10,72,65,89,78
214,14,65,88,48,51
215,9,48,78,92,85
216,4,63,68,49,68
217,10,85,96,36,56
218,10,83,57,58,75
219,10,77,80,98,64
220,9,39,90,58,96
221,11,76,41,61,87
222,7,41,95,71,52
223,2,76,37,73,87
224,9,70,72,97,65
225,4,61,68,60,51
226,8,92,78,99,80
227,14,80,64,38,77
228,7,59,51,63,56
229,13,61,93,35,79
230,7,35,44,84,92
231,8,76,52,45,56
232,1,86,79,93,85
233,5,59,93,96,78
234,2,88,96,70,73
235,2,40,93,90,88
236,1,92,83,55,53
237,5,87,97,47,78
238,2,92,66,43,93
239,4,36,44,45,54
240,3,56,45,35,78
241,3,71,96,90,79
242,2,54,81,65,78
243,13,58,68,71,75
244,6,99,51,81,68
245,2,99,88,81,75
246,14,35,74,92,86
247,14,37,53,70,76
248,8,80,87,66,79
249,8,89,98,98,79
250,13,98,81,76,52
251,14,79,40,82,92
252,12,60,50,64,56
253,5,99,52,55,98
254,10,58,86,94,58
255,7,69,82,47,90
256,4,58,77,35,91
257,1,62,73,99,62
258,11,50,83,67,64
259,2,93,46,72,54
260,10,88,44,59,78
261,10,50,89,60,84
262,4,49,35,93,76
263,1,45,83,67,76
264,13,99,70,75,57
265,8,77,55,64,81
266,9,47,71,91,69
267,4,44,58,83,59
268,10,75,89,82,62
269,3,84,59,83,78
270,2,93,41,81,84
271,5,73,58,90,57
272,14,37,45,99,78
273,3,41,46,46,80
274,10,83,69,40,90
275,7,60,97,99,79
276,11,67,91,59,71
277,6,82,47,35,70
278,1,36,57,66,61
279,12,66,73,37,60
280,8,38,46,83,51
281,2,54,68,53,99
282,5,70,65,94,90
283,9,66,96,63,51
284,8,62,47,84,83
285,2,35,65,36,52
286,9,94,36,90,65
287,5,90,49,51,53
288,10,69,91,94,72
289,14,64,68,70,99
290,6,88,63,95,69
291,13,70,50,51,74
292,3,89,73,83,79
293,13,92,71,94,67
294,3,99,55,54,91
295,10,85,78,84,60
296,8,56,53,37,78
297,11,87,42,77,66
298,10,70,75,91,75
299,10,70,95,84,72
300,12,86,60,84,97
301,2,87,63,71,69
302,11,84,53,80,94
303,12,75,92,76,51
304,12,52,91,49,73
305,2,56,71,67,80
306,13,55,95,45,76
307,5,78,64,54,51
308,6,81,59,58,63
309,12,73,99,98,53
310,2,63,40,99,98
311,5,88,52,51,62
312,7,51,44,95,85
313,10,94,45,49,84
314,10,65,99,85,93
315,8,83,99,61,57
316,12,36,86,95,51
317,7,82,65,92,55
318,8,48,51,65,80
319,14,93,89,46,59
320,12,92,70,80,93
321,9,92,60,65,70
322,5,85,87,66,91
323,13,36,51,66,59
324,5,75,59,87,72
325,11,50,36,95,52
326,10,38,39,80,81
327,4,46,38,41,69
328,13,63,70,38,59
329,9,41,40,86,78
330,5,48,55,65,90
331,14,46,60,70,95
332,2,39,89,88,83
333,10,66,73,88,86
334,8,77,67,51,69
335,7,79,48,64,57
336,8,43,90,56,56
337,12,83,55,77,55
338,3,67,80,61,60
339,4,52,50,71,93
340,5,43,50,80,67
341,6,96,63,69,91
342,1,91,42,38,78
343,4,63,37,60,74
344,11,59,53,53,70
345,12,49,56,79,95
346,10,40,80,60,52
347,13,76,47,56,67
348,5,63,67,92,73
349,7,38,39,97,96
350,13,91,61,62,87
351,5,83,58,99,59
352,13,78,97,78,76
353,13,48,82,77,61
354,1,37,97,71,56
355,11,96,46,51,66
356,7,98,62,74,50
357,8,79,78,72,99
358,13,92,77,95,75
359,7,54,51,43,64
360,11,92,74,95,82
361,14,91,83,50,86
362,13,86,91,36,96
363,4,71,98,77,80
364,8,42,91,76,84
365,5,78,77,91,50
366,10,39,57,64,57
367,9,65,61,47,61
368,12,79,92,53,68
369,12,43,71,41,74
370,10,66,40,43,81
371,5,67,99,88,61
372,1,64,40,95,62
373,12,63,84,36,77
374,9,37,56,84,50
375,12,91,59,65,55
376,5,64,85,67,57
377,6,43,82,45,53
378,4,60,99,67,54
379,6,36,94,41,74
380,12,96,80,65,71
381,8,37,70,82,77
382,3,80,92,81,88
383,5,59,72,87,72
384,2,85,45,53,53
385,14,47,46,40,53
386,2,78,76,83,96
387,13,69,73,84,70
388,7,89,45,46,86
389,10,43,70,57,90
390,13,36,86,88,51
391,10,95,65,93,56
392,14,75,67,70,98
393,11,78,47,37,65
394,10,98,52,92,66
395,6,65,75,89,69
396,4,81,92,91,72
397,5,36,90,51,83
398,1,92,58,73,60
399,7,78,65,89,83
400,8,90,89,79,82
401,9,77,44,35,75
402,8,68,94,55,51
403,5,64,36,55,72
404,3,89,49,86,90
405,10,47,37,77,71
406,11,37,77,86,83
407,9,60,65,78,64
408,6,91,90,66,59
409,5,58,97,44,64
410,13,87,49,98,91
411,3,77,44,62,78
412,6,94,72,87,72
413,3,92,81,85,66
414,10,83,91,87,58
415,12,76,84,38,99
416,6,45,49,51,85
417,4,52,52,81,58
418,2,86,36,90,65
419,8,80,77,57,85
420,4,78,60,52,97
421,9,56,72,35,82
422,7,87,76,69,80
423,12,93,39,98,55
424,2,64,45,92,59
425,4,42,99,93,65
426,5,91,68,35,53
427,3,54,35,37,71
428,9,59,36,71,62
429,13,53,54,63,65
430,5,39,95,67,78
431,2,61,55,95,55
432,11,74,46,38,75
433,3,60,56,48,60
434,14,61,54,67,73
435,9,96,35,56,78
436,7,84,64,82,52
437,2,76,58,37,59
438,9,63,48,57,50
439,14,73,70,55,92
440,4,94,58,77,75
441,13,75,94,60,61
442,9,67,89,75,63
443,13,50,58,72,74
444,2,57,58,45,57
445,12,41,88,63,92
446,10,60,60,94,53
447,12,46,72,99,77
448,4,39,99,95,56
449,5,83,85,53,59
450,2,60,69,80,85
451,10,39,77,83,51
452,1,56,63,56,75
453,7,47,71,91,99
454,10,62,92,48,63
455,1,67,88,78,65
456,11,57,73,50,92
457,11,52,76,46,91
458,8,64,62,89,66
459,3,60,63,85,95
460,14,50,77,73,71
461,10,73,37,67,53
462,6,67,44,67,68
463,7,60,93,63,51
464,10,82,48,65,88
465,1,99,81,65,58
466,14,72,76,80,68
467,6,36,66,86,65
468,7,40,66,44,74
469,6,80,76,75,97
470,4,84,66,37,67
471,1,72,60,93,72
472,11,52,35,86,70
473,9,61,90,68,60
474,4,75,36,83,88
475,7,51,64,62,90
476,7,96,86,47,53
477,2,63,43,95,74
478,1,92,56,94,81
479,8,56,68,58,79
480,8,40,83,97,94
481,7,60,35,95,75
482,14,73,87,57,85
483,8,46,74,64,83
484,3,48,79,94,58
485,11,56,43,52,61
486,2,85,56,90,51
487,7,57,52,87,87
488,8,82,77,41,54
489,1,84,73,86,54
490,12,47,40,38,71
491,10,44,82,68,54
492,9,89,41,67,53
493,13,43,50,72,58
494,11,86,35,60,78
495,4,36,71,35,71
496,14,59,71,38,76
497,12,47,98,73,59
498,14,85,96,88,65
499,4,92,95,67,91
500,3,68,67,67,91
501,6,69,64,54,59
502,1,37,54,50,55
503,6,93,94,55,98
504,2,82,58,79,54
505,9,98,38,96,55
506,2,53,71,65,96
507,7,39,38,76,74
508,12,45,52,46,99
509,1,35,82,99,53
510,12,97,67,37,89
511,7,63,92,43,97
512,5,46,62,85,81
513,8,75,69,50,84
514,4,36,44,37,59
515,12,71,99,58,83
516,10,79,76,47,85
517,7,82,43,36,55
518,6,58,94,55,92
519,5,56,49,53,95
520,4,45,91,81,65
521,7,92,56,56,68
522,12,80,98,67,83
523,5,63,75,66,74
524,5,69,90,98,80
525,1,49,57,73,98
526,2,94,59,76,90
527,5,76,40,43,66
528,13,77,68,59,96
529,3,83,97,36,79
530,14,98,43,53,88
531,13,66,94,54,80
532,2,98,83,51,68
533,14,36,85,37,84
534,14,58,94,85,78
535,4,72,71,60,50
536,4,65,65,90,53
537,4,60,75,98,77
538,4,63,96,42,67
539,3,59,92,71,75
540,13,82,48,61,89
541,12,99,70,79,68
542,7,87,70,38,55
543,9,52,42,71,50
544,12,43,60,67,57
545,5,72,70,65,82
546,4,55,82,89,92
547,11,99,62,46,70
548,2,55,96,45,73
549,2,61,85,66,74
550,5,78,76,91,96
551,7,62,63,72,92
552,10,79,44,94,68
553,10,51,73,53,78
554,9,74,35,90,59
555,13,37,73,48,61
556,7,80,55,67,82
557,5,64,99,44,56
558,10,43,49,98,66
559,10,45,38,98,59
560,10,65,94,96,80
561,6,67,95,77,55
562,11,73,54,93,66
563,12,80,44,86,99
564,3,71,68,53,86
565,5,94,82,55,67
566,8,65,67,56,75
567,1,45,95,43,98
568,12,36,44,43,65
569,1,61,88,61,57
570,7,36,99,51,73
571,14,55,35,78,62
572,5,92,39,79,78
573,14,39,49,42,81
574,5,86,62,52,73
575,1,79,57,67,65
576,9,54,51,35,60
577,1,95,47,40,81
578,5,72,48,75,55
579,10,54,45,89,84
580,9,59,62,39,82
581,14,36,76,93,67
582,4,66,95,52,86
583,13,60,98,83,62
584,8,75,65,99,59
585,6,35,44,88,86
586,11,85,42,95,75
587,3,39,55,42,95
588,4,47,93,37,66
589,2,53,84,59,50
590,1,46,64,89,74
591,13,82,51,74,83
592,14,59,54,84,88
593,8,91,82,67,59
594,1,69,36,52,69
595,14,39,71,91,56
596,13,56,35,50,65
597,11,91,38,72,86
598,1,81,88,75,78
599,4,88,59,41,61
600,10,37,37,87,66
601,12,87,43,97,97
602,10,65,68,66,69
603,6,67,77,72,75
604,9,84,56,56,97
605,1,50,36,50,68
606,7,73,66,86,96
607,10,80,50,63,61
608,11,81,35,50,70
609,5,78,82,51,91
610,12,43,84,98,83
611,8,84,47,47,56
612,14,94,49,90,94
613,7,49,87,39,84
614,4,70,78,46,64
615,4,97,42,75,50
616,6,75,80,37,75
617,6,58,53,67,84
618,9,83,72,84,74
619,12,52,45,90,91
620,5,41,77,43,64
621,8,38,54,84,71
622,5,94,54,63,55
623,2,89,55,73,64
624,6,50,91,79,73
625,9,63,84,51,70
626,13,57,60,90,56
627,3,48,64,80,78
628,1,83,65,48,81
629,1,67,76,57,81
630,13,59,95,95,54
631,3,55,95,57,53
632,10,51,51,61,71
633,5,57,53,88,67
634,3,91,85,44,84
635,9,92,97,50,66
636,8,48,64,75,99
637,3,54,59,89,99
638,9,64,60,95,73
639,13,53,90,83,51
640,6,87,56,86,62
641,13,90,53,36,64
642,7,57,65,84,54
643,4,96,60,77,52
644,4,67,76,42,86
645,12,52,75,93,86
646,13,67,57,99,86
647,2,66,81,46,52
648,5,95,47,38,84
649,8,88,50,75,72
650,7,51,62,41,77
651,7,53,69,64,79
652,6,68,75,40,67
653,3,59,65,53,85
654,5,45,66,44,82
655,13,50,88,50,75
656,1,95,93,71,97
657,7,41,75,66,89
658,9,50,88,81,66
659,1,50,74,77,89
660,13,74,62,70,56
661,2,46,71,60,57
662,3,69,99,44,80
663,3,55,89,65,61
664,8,84,38,63,97
665,7,77,44,39,80
666,6,51,81,35,93
667,10,66,48,37,68
668,10,75,72,69,59
669,11,40,46,49,88
670,4,61,79,64,61
671,9,54,51,77,69
672,1,59,69,94,86
673,11,43,75,74,97
674,2,87,63,99,90
675,14,95,52,63,56
676,4,72,54,53,63
677,3,37,48,37,60
678,1,89,68,70,56
679,5,35,83,77,78
680,7,79,88,49,59
681,2,81,65,75,78
682,5,60,92,70,58
683,6,48,76,67,85
684,11,88,92,39,97
685,7,80,64,48,59
686,1,65,59,81,68
687,7,93,97,88,80
688,4,63,53,38,66
689,8,51,42,43,58
690,13,48,37,87,94
691,4,70,51,94,82
692,6,92,48,80,83
693,9,58,43,88,94
694,5,97,96,71,73
695,14,59,55,57,58
696,12,93,71,61,56
697,4,66,45,95,65
698,8,52,54,85,68
699,13,71,69,84,88
700,9,60,87,53,55
701,4,43,81,35,99
702,3,98,86,74,60
703,8,54,42,66,61
704,14,88,38,56,91
705,5,64,61,74,62
706,2,87,78,72,61
707,10,97,74,82,70
708,9,45,81,89,59
709,3,65,78,89,69
710,12,83,82,85,99
711,2,53,86,94,85
712,1,46,45,42,77
713,14,49,38,43,73
714,8,65,82,36,54
715,11,77,60,93,86
716,3,71,73,53,61
717,7,63,92,62,84
718,1,60,53,48,89
719,1,36,92,58,51
720,12,49,62,78,99
721,9,38,44,90,90
722,12,84,92,85,94
723,8,72,48,66,88
724,12,57,49,84,91
725,13,93,67,75,58
726,3,62,51,59,71
727,6,42,58,95,96
728,11,63,64,76,54
729,3,45,96,99,61
730,13,52,47,70,50
731,12,89,96,43,93
732,4,84,81,70,71
733,1,48,50,72,87
734,5,43,77,67,68
735,1,45,42,76,65
736,13,97,37,95,80
737,1,87,46,80,52
738,10,73,50,95,72
739,11,90,93,52,91
740,11,62,83,49,67
741,14,73,97,82,75
742,7,59,96,47,62
743,12,55,83,77,67
744,6,44,85,94,52
745,2,77,67,91,72
746,14,49,64,51,52
747,11,82,93,84,74
748,12,55,49,66,76
749,2,94,57,56,93
750,11,84,79,89,76
751,7,57,96,91,88
752,1,47,49,47,74
753,13,38,80,81,73
754,2,43,98,96,57
755,12,69,80,88,58
756,8,55,90,63,95
757,6,92,78,56,86
758,14,52,63,99,79
759,2,77,96,63,68
760,7,40,86,82,65
761,4,46,88,39,73
762,2,46,91,69,93
763,12,36,56,80,70
764,6,49,54,69,85
765,11,57,67,79,89
766,9,63,59,47,88
767,11,41,80,44,96
768,9,62,91,59,55
769,14,48,39,78,54
770,8,78,89,94,63
771,3,64,95,81,94
772,3,66,42,74,91
773,2,40,50,41,99
774,5,61,82,80,53
775,14,58,95,57,57
776,12,68,49,80,73
777,14,74,99,47,60
778,4,81,56,55,66
779,7,58,37,35,99
780,4,99,88,53,70
781,9,52,48,94,75
782,12,78,70,67,92
783,12,91,44,38,97
784,2,62,83,37,93
785,11,57,99,86,94
786,14,68,91,62,76
787,6,45,61,89,65
788,7,69,39,91,75
789,4,76,91,50,82
790,13,62,49,58,80
791,6,58,64,75,97
792,7,42,54,81,96
793,4,87,71,65,55
794,8,38,37,64,93
795,9,39,75,52,57
796,1,83,73,78,56
797,7,64,60,61,83
798,9,97,36,60,93
799,12,81,57,94,63
800,10,60,57,52,65
