ProductID,CategoryID,StockQuantity,CostPrice,SellingPrice,SupplierID
1289,1,271,83,1291,241
1290,9,504,698,1337,263
1291,17,165,367,1273,253
1292,1,938,169,115,277
1293,3,761,676,1214,276
1294,15,86,574,1243,270
1295,10,653,630,352,275
1296,8,645,986,1183,236
1297,12,984,894,1389,203
1298,15,790,818,1532,201
1299,9,637,138,130,298
1300,10,827,561,1144,243
1301,9,490,96,830,266
1302,15,907,821,1716,267
1303,1,140,789,388,275
1304,2,867,741,1666,282
1305,19,102,571,597,273
1306,14,225,333,1869,261
1307,8,901,426,1597,200
1308,6,574,687,1528,216
1309,12,293,183,647,215
1310,15,895,716,1060,208
1311,14,305,297,231,252
1312,1,253,701,1447,272
1313,11,179,367,957,258
1314,3,39,485,1255,208
1315,19,775,225,620,211
1316,18,700,884,129,240
1317,2,519,735,726,214
1318,7,615,635,1424,265
1319,8,736,400,103,274
1320,19,545,192,1448,210
1321,15,235,853,608,207
1322,10,462,447,1360,254
1323,1,227,673,1658,295
1324,6,699,767,115,205
1325,13,824,692,1657,252
1326,14,482,418,1096,219
1327,3,429,550,1707,238
1328,11,21,671,1939,298
1329,3,342,419,1569,271
1330,19,39,628,1626,233
1331,10,172,431,1055,256
1332,15,438,135,1353,218
1333,11,178,836,1230,270
1334,15,597,788,1843,230
1335,13,132,509,1512,281
1336,5,350,999,1843,239
1337,4,524,374,362,213
1338,13,539,571,1686,299
1339,9,505,538,1188,280
1340,17,83,978,364,236
1341,2,992,446,1461,243
1342,5,463,945,1424,208
1343,16,829,404,477,257
1344,7,860,996,1298,219
1345,1,342,337,1062,291
1346,12,279,508,1275,249
1347,11,865,673,575,219
1348,12,262,585,1389,235
1349,19,165,340,428,226
1350,12,292,900,1939,271
1351,12,508,887,1286,231
1352,14,579,217,537,200
1353,2,225,999,1466,216
1354,2,169,670,1490,208
1355,4,597,477,1588,283
1356,16,644,751,1873,244
1357,10,447,539,1322,295
1358,13,689,404,1623,265
1359,2,854,245,115,231
1360,3,501,594,1944,244
1361,19,763,766,1419,208
1362,6,526,873,967,229
1363,19,734,981,610,283
1364,19,378,743,1911,237
1365,8,200,708,1083,259
1366,14,618,988,1362,200
1367,10,249,829,680,204
1368,3,948,60,1424,262
1369,6,408,631,105,298
1370,15,600,305,1343,235
1371,18,124,445,1118,264
1372,14,112,780,1889,277
1373,19,980,858,1576,272
1374,10,136,458,1556,293
1375,15,758,411,906,223
1376,4,495,308,1993,203
1377,2,677,52,1509,277
1378,3,149,133,718,288
1379,7,874,205,1418,267
1380,16,342,712,1241,224
1381,10,944,225,504,273
1382,19,579,756,1803,298
1383,17,732,987,1096,206
1384,19,782,521,1886,212
1385,5,320,668,693,267
1386,13,821,473,665,242
1387,13,925,183,851,256
1388,11,860,837,111,235
1389,11,531,956,1332,213
1390,16,288,913,264,281
1391,15,488,429,977,271
1392,17,491,716,1417,295
1393,18,611,326,1642,226
1394,19,251,285,177,236
1395,4,981,801,1557,286
1396,5,76,931,1700,270
1397,7,646,62,713,275
1398,2,391,391,968,224
1399,1,411,84,911,266
1400,12,172,608,1922,289
1401,10,874,263,1806,203
1402,8,200,461,1200,299
1403,1,216,454,1171,278
1404,12,375,543,866,295
1405,2,719,707,181,292
1406,10,585,208,1844,273
1407,17,10,686,308,284
1408,3,798,159,1568,215
1409,7,767,598,1719,218
1410,12,11,838,621,228
1411,8,891,575,1152,250
1412,12,990,396,1427,217
1413,3,589,793,1093,257
1414,17,434,877,564,243
1415,9,683,685,1625,215
1416,10,607,328,1569,264
1417,6,817,528,727,201
1418,1,372,160,1613,255
1419,12,272,685,880,278
1420,5,930,974,1551,227
1421,13,896,480,658,264
1422,15,924,591,1482,204
1423,11,690,164,1059,221
1424,8,575,139,190,299
1425,5,508,261,1176,212
1426,2,131,599,1853,264
1427,12,854,644,959,215
1428,2,923,588,1712,285
1429,16,783,778,1327,263
1430,3,318,409,655,231
1431,10,843,535,255,279
1432,19,948,421,101,250
1433,8,852,264,1480,278
1434,7,620,782,924,257
1435,1,784,64,1692,245
1436,12,167,308,901,251
1437,5,396,827,1082,262
1438,16,179,512,1181,275
1439,4,57,169,1377,259
1440,17,479,962,1303,264
1441,2,932,177,592,280
1442,12,590,772,768,254
1443,1,459,572,1158,256
1444,12,60,737,174,291
1445,12,368,694,1043,270
1446,12,120,374,1412,272
1447,19,718,369,470,285
1448,17,545,555,686,225
1449,11,581,575,428,211
1450,13,16,99,689,270
1451,8,495,971,1890,245
1452,10,496,633,876,246
1453,8,504,118,403,278
1454,8,531,440,678,237
1455,9,968,432,320,220
1456,7,314,65,1078,213
1457,14,68,488,1287,201
1458,2,726,895,1603,271
1459,11,160,918,1578,269
1460,8,613,617,474,232
1461,13,887,666,1343,205
1462,15,717,181,1807,289
1463,3,144,609,1377,236
1464,14,568,297,1845,213
1465,15,594,322,287,236
1466,2,992,672,1314,207
1467,19,384,981,1512,276
1468,12,268,887,1338,212
1469,4,922,897,1498,239
1470,3,453,398,1209,291
1471,5,698,533,573,257
1472,3,517,599,1741,217
1473,15,864,406,943,256
1474,19,349,801,1931,282
1475,2,109,367,630,237
1476,12,482,682,1170,231
1477,5,406,97,1188,285
1478,17,649,59,1062,265
1479,14,50,282,574,276
1480,10,402,85,1269,286
1481,3,562,462,1045,224
1482,4,475,511,1921,291
1483,6,86,53,1505,257
1484,16,67,93,1189,274
1485,7,595,617,616,232
1486,15,978,603,1216,287
1487,11,41,304,1988,265
1488,1,730,789,525,229
1489,5,56,163,1591,280
1490,13,737,798,1217,233
1491,14,195,446,1741,285
1492,9,759,223,232,268
1493,17,677,304,1557,247
1494,15,61,515,1464,239
1495,7,262,978,413,250
1496,12,111,326,690,279
1497,6,764,513,1335,212
1498,16,710,896,1643,289
1499,5,177,551,1108,230
