EmployeeID,DepartmentID,Salary,Bonus,ExperienceYears,Age
104,9,91762,9815,3,52
105,3,107225,24235,17,42
106,3,116507,7843,20,27
107,6,45954,20972,6,29
108,9,75021,27927,0,21
109,7,109959,27285,22,49
110,3,115927,22353,12,28
111,3,99866,6094,5,24
112,2,90427,11124,5,55
113,9,24992,28731,11,23
114,3,21961,24579,7,27
115,5,32497,6404,23,47
116,9,137551,28324,21,21
117,8,52551,25674,18,47
118,2,96384,8982,4,36
119,3,145374,17515,17,58
120,2,75755,20790,4,27
121,8,33255,17205,24,43
122,6,24567,26939,9,31
123,6,68847,29338,0,53
124,9,124817,17748,9,56
125,8,68003,26097,4,57
126,4,40389,8092,11,37
127,4,64523,25543,21,55
128,9,143802,27692,6,25
129,1,81576,28862,8,52
130,2,147342,29860,21,23
131,2,63919,18971,20,55
132,6,102103,19616,11,34
133,4,142443,9933,22,51
134,3,23358,9926,0,51
135,3,108535,8969,10,37
136,3,127894,7965,20,44
137,6,141485,9319,14,43
138,8,96524,13975,1,38
139,7,143416,12108,19,34
140,4,125982,14141,6,35
141,4,117057,25323,20,35
142,2,25698,21428,11,26
143,1,86809,6810,21,47
144,9,113079,25950,17,35
145,2,75805,15273,2,56
146,8,51349,14021,6,28
147,9,96777,23293,10,35
148,4,70248,11364,17,23
149,8,95033,7581,11,33
150,9,127411,5691,5,54
151,5,118239,5931,4,44
152,7,64041,18128,0,52
153,4,51954,29294,11,52
154,1,28002,19226,10,50
155,3,89783,18861,3,33
156,5,127524,20475,17,21
157,3,107234,27766,3,54
158,7,144857,8406,16,35
159,9,39738,13339,1,34
160,6,30703,22416,23,49
161,1,133776,22695,21,54
162,7,69422,13579,1,38
163,3,103106,8121,11,27
164,5,81899,23257,5,49
165,4,32392,28165,9,51
166,5,64724,20946,24,45
167,5,52299,8748,22,58
168,6,35641,5277,24,34
169,6,99534,23243,20,28
170,8,26305,16563,22,47
171,8,118262,27313,15,22
172,9,38782,11792,13,37
173,8,98257,26097,6,57
174,2,125299,18918,18,34
175,1,97963,15374,22,45
176,2,132086,9675,16,50
177,2,141987,6170,8,49
178,3,40566,13681,12,40
179,7,144591,15717,21,41
180,2,87766,17450,4,42
181,1,26511,15680,22,55
182,6,134816,15068,4,57
183,9,127765,26692,9,36
184,3,138360,7462,20,37
185,6,46177,18650,9,36
186,3,24765,5287,6,22
187,1,40354,27337,14,24
188,5,43929,25666,6,41
189,4,48820,23291,14,59
190,7,131576,6161,2,54
191,6,49523,21513,18,50
192,7,91088,27721,9,26
193,5,86163,7363,14,37
194,4,97525,29535,2,59
195,7,33780,10983,5,45
196,7,26589,21527,11,25
197,6,54812,13207,14,25
198,8,113664,28853,5,40
199,4,65939,19758,12,36
200,5,71493,5244,18,57
201,4,124188,22310,2,29
202,1,113326,8178,7,25
203,8,60953,7176,7,22
204,1,85785,10002,22,29
205,5,39309,5886,19,56
206,6,74195,29916,14,42
207,6,135662,24782,3,42
208,5,45901,18721,18,42
209,3,43576,17142,20,54
210,5,51508,29881,2,49
211,8,94711,7654,12,58
212,2,45464,16984,7,53
213,6,80281,28776,22,38
214,9,36260,22755,15,27
215,8,144997,12135,12,21
216,8,55440,5320,2,53
217,8,115082,9654,15,21
218,7,125583,26684,8,44
219,8,76683,28145,13,24
220,6,144206,28238,12,24
221,2,61430,26889,20,38
222,2,21987,21131,24,47
223,8,134778,15770,6,52
224,1,45105,11553,14,53
225,6,98484,25426,6,48
226,6,138747,16559,5,56
227,4,33026,14009,1,26
228,3,88309,18482,8,36
229,3,65927,12498,21,54
230,1,95414,11636,23,43
231,3,77535,12362,16,44
232,4,62946,21395,4,33
233,5,146503,21578,11,38
234,3,76561,7537,0,33
235,6,30377,24226,9,57
236,5,73592,20216,10,59
237,3,27347,23613,15,37
238,6,53776,8009,13,35
239,6,23783,29368,7,38
240,8,75798,19209,23,43
241,2,24298,20675,16,50
242,1,90204,20029,24,54
243,4,106207,7077,17,24
244,7,120356,18907,11,23
245,3,75161,29229,24,27
246,3,80652,8867,16,38
247,5,54484,21152,13,27
248,5,118614,9873,15,26
249,3,149572,13635,13,42
250,9,132695,5297,8,21
251,4,40922,18095,3,24
252,3,54028,27240,24,49
253,2,131461,14036,22,41
254,9,40316,6015,10,46
255,4,96996,6384,5,34
256,3,36968,13745,14,29
257,7,50266,23734,4,32
258,8,145679,22653,10,26
259,2,115745,6260,24,40
260,7,44000,12701,17,44
261,5,143239,29760,12,47
262,5,34011,25947,10,58
263,3,22866,28281,13,28
264,5,132669,27056,17,21
265,2,25898,15401,24,44
266,4,38395,20519,18,27
267,6,59019,26977,23,39
268,1,123243,16864,14,42
269,4,24006,20681,8,55
270,6,54393,27539,7,50
271,9,30956,10543,19,49
272,2,70042,28624,0,42
273,7,116199,26067,3,31
274,6,26078,23265,13,40
275,2,49631,17488,24,49
276,8,115676,15079,1,54
277,7,141724,15744,15,21
278,5,82901,8809,2,51
279,5,127227,27191,7,50
280,7,89497,26267,5,38
281,9,114813,12206,15,37
282,9,137192,25539,23,58
283,9,61574,26057,15,34
284,6,138494,18746,6,43
285,6,51417,20995,12,45
286,3,108020,21035,12,35
287,1,103639,16671,4,42
288,7,85006,18210,24,23
289,4,114881,22793,19,39
290,1,131862,10197,21,54
291,8,59454,20553,17,55
292,6,21587,12452,14,21
293,6,141688,13718,17,41
294,2,128107,19859,1,49
295,1,135584,7172,9,26
296,2,74710,18158,22,57
297,4,143157,21663,12,21
298,2,106567,25361,17,21
299,1,111748,24053,14,47
300,7,95886,16085,11,41
301,8,38816,29209,14,36
302,6,105824,8981,12,46
303,4,49432,26153,17,36
304,6,129758,10247,14,48
305,3,68617,15553,24,21
306,8,92373,25811,22,56
307,2,54217,11135,10,30
308,5,40884,10573,18,37
309,1,25454,25515,2,43
310,6,94960,18731,6,27
311,2,122421,12189,20,27
312,4,127173,19541,13,35
313,6,63618,15878,13,54
314,8,103948,16087,21,24
315,8,82671,18667,12,34
316,6,67111,25919,11,34
317,4,59613,7776,23,36
318,8,105678,14311,8,27
319,8,140592,12697,0,52
320,1,122928,19629,18,39
321,4,144917,13386,10,22
322,4,79993,22046,22,30
323,7,148652,13044,21,37
324,7,28848,25602,22,57
325,8,134853,14615,23,32
326,5,98672,20034,21,26
327,7,139279,10060,18,42
328,8,86125,15900,17,52
329,9,106444,27258,11,40
330,3,137509,10581,22,21
331,3,81602,7014,0,26
332,4,92045,25173,18,39
333,5,125997,17997,19,38
334,1,62222,15635,16,26
335,7,69223,18648,4,53
336,9,130012,12148,2,43
337,8,131246,29150,1,43
338,5,85333,23748,2,46
339,4,72732,19022,7,33
340,7,142650,25013,15,27
341,5,69420,10919,5,35
342,7,95504,20886,12,47
343,1,22462,27059,22,46
344,1,29460,11638,21,53
345,3,119319,9651,21,35
346,2,145602,5609,15,56
347,2,29275,12940,15,47
348,7,114213,15348,2,25
349,2,33269,8866,12,22
350,4,149593,21755,13,53
351,2,142672,28382,7,36
352,6,85942,21999,11,43
353,8,92920,28295,22,58
354,4,140737,27394,22,36
355,5,42553,7253,21,34
356,4,44366,9942,20,49
357,3,64036,17330,7,46
358,5,37369,5864,20,55
359,9,31795,6268,24,35
360,8,90021,12454,8,23
361,8,127205,18666,0,43
362,8,88154,25955,5,49
363,8,50143,17370,22,54
364,7,49425,10229,18,53
365,8,108209,21309,22,43
366,8,95139,23621,10,27
367,8,125232,9054,10,23
368,7,25368,5935,22,52
369,1,24621,17172,12,51
370,4,78829,27778,10,38
371,4,149036,29275,17,27
372,5,80294,15530,22,21
373,6,34719,20560,14,34
374,4,49227,21156,0,52
375,2,129430,21709,20,26
376,6,27566,14726,24,59
377,8,32306,12774,6,30
378,8,73822,25245,22,27
379,7,44042,6985,12,46
380,6,35086,19252,11,54
381,2,37387,26316,17,50
382,7,47042,9603,23,56
383,5,109424,24162,18,41
384,6,71618,20960,14,37
385,8,112050,14462,7,53
386,8,38323,19166,18,30
387,3,38019,12754,9,32
388,7,95426,19246,6,36
389,1,60863,9078,17,52
390,1,140953,17853,15,35
391,7,131023,22751,19,47
392,9,30283,9042,5,48
393,7,38279,21284,8,37
394,5,66999,19389,20,22
395,8,82780,7575,12,56
396,2,42908,11754,24,27
397,9,81584,22965,20,33
398,6,146278,6986,7,35
399,9,133002,23624,15,45
400,2,70225,25350,12,43
401,3,57952,28988,12,42
402,8,120706,20470,16,46
403,1,57663,29704,22,53
404,7,142019,10968,19,31
405,7,129708,12493,4,30
406,1,81381,9103,21,45
407,9,67929,7076,20,57
408,8,29343,26615,16,58
409,4,96173,7994,8,44
410,5,120260,8744,1,53
411,2,59791,19466,24,37
412,9,49134,19523,17,44
413,6,132366,10594,8,57
414,3,67101,12531,5,22
415,7,89443,12371,10,52
416,9,119111,19547,24,44
417,3,77530,23028,5,29
418,2,66799,8144,5,24
419,7,24827,18990,12,37
420,7,116143,19083,10,37
421,4,82653,21626,13,50
422,9,33699,25469,1,31
423,8,122828,12954,7,41
424,1,133497,12269,2,41
425,1,111419,12130,22,38
426,5,134527,11828,20,49
427,6,136972,29746,2,44
428,3,25313,13844,0,30
429,9,33598,19220,23,37
430,6,131362,11331,18,38
431,4,135445,24896,17,40
432,7,48807,18397,16,57
433,8,90423,22883,19,38
434,9,89390,15291,23,37
435,6,65226,23542,12,29
436,6,79550,15164,2,34
437,8,100072,26546,0,49
438,5,23558,15450,3,51
439,3,95308,25423,24,24
440,3,70113,7035,12,38
441,6,72999,16463,16,40
442,2,75878,12977,10,29
443,6,56343,22241,1,33
444,6,78219,25207,24,35
445,8,55186,28154,15,47
446,7,56966,17182,1,35
447,8,53769,5298,18,48
448,9,139932,28628,22,57
449,6,146264,5923,18,39
450,3,125423,25616,24,46
451,3,73218,18331,15,46
452,1,39229,25690,21,45
453,5,95209,24183,18,46
454,4,47877,11578,8,46
455,9,78001,9875,0,48
456,9,117137,26710,9,38
457,5,58084,17254,18,52
458,4,101780,27966,0,23
459,7,112892,23186,1,22
460,6,36806,15905,15,53
461,4,108635,18353,11,39
462,2,130177,20882,7,37
463,1,57034,24041,22,53
464,4,60317,24730,17,32
465,4,75468,14663,1,23
466,1,39094,24333,24,46
467,6,77796,5941,12,55
468,4,30589,6907,5,28
469,1,77221,9837,20,56
470,1,144855,18680,5,27
471,1,21657,29489,8,56
472,8,118300,22627,15,36
473,8,137229,10696,10,44
474,2,59531,21226,6,21
475,7,72227,18543,9,45
476,8,23164,17615,9,30
477,8,113078,6466,24,36
478,7,103973,25341,19,36
479,5,61247,23350,17,28
480,1,124041,5375,23,49
481,9,39601,5262,19,59
482,7,113966,25746,8,48
483,2,70599,27886,14,26
484,6,91545,16580,3,36
485,2,135295,15136,7,40
486,1,24552,12833,8,36
487,7,136452,6893,12,27
488,2,29417,13106,8,34
489,2,78579,16826,3,46
490,5,127525,6652,16,46
491,5,88207,26924,15,34
492,7,92055,25276,14,27
493,1,122266,5599,2,53
494,8,98270,26199,24,46
495,3,131426,23296,19,40
496,4,137865,13792,4,23
497,9,23722,29956,22,24
498,4,90442,25597,4,46
499,5,115632,8637,19,31
500,7,60031,15355,14,22
